data,isbn,desconto,item_id,ordem_id
4/1/2020,989-28-79-26824-4,,107022-81-5752,107022-142
4/1/2020,989-28-79-71565-6,,107022-63-7537,107022-143
4/1/2020,989-28-79-13801-1,,107022-62-7641,107022-144
4/1/2020,989-28-79-13801-1,,107022-61-6700,107022-145
4/1/2020,989-28-79-74374-1,,107022-55-6014,107022-146
4/1/2020,989-28-79-91028-0,,107022-33-1454,107022-147
4/1/2020,989-28-79-13801-1,,107022-34-7661,107022-148
4/1/2020,989-28-79-26824-4,,107022-58-2062,107022-149
4/1/2020,989-28-79-26824-4,,107022-1-1997,107022-150
4/1/2020,989-28-79-23023-4,,107022-25-2786,107022-151
4/1/2020,989-28-3705-763-7,,107022-28-3849,107022-152
4/1/2020,989-28-3705-222-9,,107022-76-5228,107022-153
4/1/2020,989-28-79-23015-9,,107022-82-5746,107022-154
4/1/2020,989-28-3705-222-9,,107022-48-8148,107022-155
4/1/2020,989-28-3705-222-9,,107022-90-3375,107022-156
4/1/2020,989-28-79-42728-3,,107022-56-6394,107022-157
4/1/2020,989-28-229-7592-2,,107022-54-9779,107022-158
4/1/2020,989-28-229-1404-4,,107022-72-1250,107022-159
4/1/2020,989-28-229-7592-2,,107022-80-1229,107022-159
4/1/2020,989-28-79-55752-2,,107022-89-4448,107022-160
4/1/2020,989-28-229-9769-6,,107022-96-6153,107022-160
4/1/2020,989-28-79-82197-5,"0,15",107022-1-7074,107022-161
4/1/2020,989-28-79-26824-4,,107022-49-6356,107022-161
4/1/2020,989-28-79-23023-4,,107022-91-5322,107022-161
4/1/2020,989-28-3705-007-2,,107022-11-6557,107022-162
4/1/2020,989-28-3705-007-2,,107022-19-3799,107022-162
4/1/2020,989-28-3705-592-3,,107022-6-4493,107022-162
4/1/2020,989-28-3705-007-2,,107022-64-6162,107022-162
4/1/2020,989-28-79-82197-5,"0,15",107022-1-9052,107049-158
5/1/2020,989-28-79-82197-5,"0,15",107023-1-2504,107022-177
5/1/2020,989-28-3705-007-2,,107023-90-7590,107023-163
5/1/2020,989-28-3705-054-6,,107023-97-1027,107023-164
5/1/2020,989-28-3705-987-7,,107023-16-6541,107023-165
5/1/2020,989-28-3705-966-2,,107023-20-3773,107023-166
5/1/2020,989-28-3705-007-2,,107023-74-3440,107023-167
5/1/2020,989-28-3705-007-2,,107023-68-16,107023-168
5/1/2020,989-28-3705-987-7,,107023-1-832,107023-169
5/1/2020,989-28-3705-007-2,,107023-99-2664,107023-170
5/1/2020,989-28-3705-007-2,,107023-58-7265,107023-171
5/1/2020,989-28-3705-987-7,,107023-90-1561,107023-172
5/1/2020,989-28-79-45675-7,,107023-47-5310,107023-173
5/1/2020,989-28-79-04510-4,,107023-86-733,107023-174
5/1/2020,989-28-79-04510-4,,107023-71-4721,107023-175
5/1/2020,989-28-79-82197-5,,107023-99-9805,107023-176
5/1/2020,989-28-79-45675-7,,107023-98-6636,107023-178
5/1/2020,989-28-79-30536-9,,107023-13-1498,107023-179
5/1/2020,989-28-79-45675-7,,107023-13-539,107023-180
5/1/2020,989-28-79-45675-7,,107023-7-9575,107023-181
5/1/2020,989-28-79-45675-7,,107023-30-6246,107023-182
5/1/2020,989-28-79-27078-0,,107023-85-4668,107023-183
5/1/2020,989-28-79-82197-5,"0,15",107023-1-3271,107023-184
5/1/2020,989-28-79-11297-4,,107023-61-9313,107023-185
5/1/2020,989-28-79-45675-7,"0,13",107023-42-9976,107023-186
5/1/2020,989-28-654-2017-5,,107023-89-952,107023-187
5/1/2020,989-28-79-69807-2,,107023-90-2631,107023-188
5/1/2020,989-28-79-82749-6,,107023-94-209,107023-189
5/1/2020,989-28-79-13871-4,,107023-81-6977,107023-190
5/1/2020,989-28-79-13871-4,,107023-90-6632,107023-191
5/1/2020,989-28-79-69807-2,,107023-90-2630,107023-192
5/1/2020,989-28-79-82125-8,,107023-7-8582,107023-193
5/1/2020,989-28-79-69807-2,,107023-10-9171,107023-194
5/1/2020,989-28-79-69807-2,,107023-29-2505,107023-195
5/1/2020,989-28-79-82125-8,,107023-7-8581,107023-196
5/1/2020,989-28-79-69807-2,,107023-50-4648,107023-197
5/1/2020,989-28-79-69807-2,,107023-10-9170,107023-198
5/1/2020,989-28-79-13871-4,,107023-95-8559,107023-199
5/1/2020,989-28-79-13871-4,,107023-81-6976,107023-200
5/1/2020,989-28-79-13871-4,"0,13",107023-42-9555,107023-201
5/1/2020,989-28-79-69807-2,,107023-40-2526,107023-202
5/1/2020,989-28-79-13871-4,,107023-61-7665,107023-203
5/1/2020,989-28-79-69807-2,,107023-50-4647,107023-204
5/1/2020,989-28-79-82125-8,,107023-99-9707,107023-205
5/1/2020,989-28-79-69807-2,,107023-29-2504,107023-206
5/1/2020,989-28-79-69807-2,,107023-7-34,107023-207
5/1/2020,989-28-79-69807-2,,107023-40-2525,107023-208
5/1/2020,989-28-79-13871-4,,107023-90-6631,107023-209
5/1/2020,989-28-654-2620-7,,107023-28-781,107023-210
5/1/2020,989-28-229-6632-6,"0,1",107023-32-3858,107023-211
5/1/2020,989-28-229-6632-6,"0,1",107023-5-3025,107023-212
5/1/2020,989-28-229-5891-8,,107023-65-7982,107023-213
5/1/2020,989-28-229-7592-2,,107023-23-6309,107023-214
5/1/2020,989-28-229-7592-2,,107023-88-4941,107023-215
5/1/2020,989-28-229-0197-6,,107023-41-8581,107023-216
5/1/2020,989-28-229-6632-6,"0,1",107023-85-7639,107023-217
5/1/2020,989-28-229-6632-6,"0,1",107023-12-8582,107023-218
5/1/2020,989-28-79-68089-3,"0,05",107023-68-5233,107023-219
5/1/2020,989-28-79-74374-1,,107023-71-1873,107023-220
5/1/2020,989-28-79-13801-1,,107023-1-5783,107023-221
5/1/2020,989-28-79-23023-4,"0,13",107023-42-523,107023-222
5/1/2020,989-28-79-13801-1,,107023-57-2277,107023-223
5/1/2020,989-28-79-71565-6,,107023-48-9744,107023-225
5/1/2020,989-28-79-26824-4,,107023-60-734,107023-226
5/1/2020,989-28-79-74374-1,,107023-26-231,107023-227
5/1/2020,989-28-79-26824-4,,107023-55-5436,107023-228
5/1/2020,989-28-79-23023-4,,107023-77-178,107023-229
5/1/2020,989-28-79-55752-2,,107023-28-8847,107023-230
5/1/2020,989-28-79-16533-8,,107023-67-3798,107023-231
5/1/2020,989-28-79-23023-4,,107023-92-5780,107023-232
5/1/2020,989-28-79-74374-1,,107023-16-3254,107023-233
5/1/2020,989-28-79-91028-0,,107023-30-2520,107023-234
5/1/2020,989-28-79-26824-4,,107023-62-2181,107023-235
5/1/2020,989-28-79-74374-1,,107023-28-5260,107023-236
5/1/2020,989-28-79-13801-1,,107023-20-7796,107023-237
5/1/2020,989-28-79-26824-4,,107023-88-283,107023-238
5/1/2020,989-28-79-74374-1,,107023-82-5371,107023-239
5/1/2020,989-28-79-74374-1,,107023-35-8302,107023-241
5/1/2020,989-28-79-40897-8,,107023-2-3675,107023-242
5/1/2020,989-28-79-23023-4,,107023-29-1406,107023-243
5/1/2020,989-28-79-13801-1,,107023-73-5541,107023-244
5/1/2020,989-28-79-23023-4,,107023-2-9301,107023-245
5/1/2020,989-28-79-23023-4,,107023-47-14,107023-246
5/1/2020,989-28-79-23023-4,,107023-73-7063,107023-247
5/1/2020,989-28-79-74374-1,,107023-99-8009,107023-248
5/1/2020,989-28-79-13801-1,,107023-95-6779,107023-249
5/1/2020,989-28-79-55824-6,,107023-18-6485,107023-250
5/1/2020,989-28-79-51397-9,,107023-7-6326,107023-251
5/1/2020,989-28-79-74374-1,,107023-7-2076,107023-252
5/1/2020,989-28-79-23023-4,,107023-58-9142,107023-253
5/1/2020,989-28-79-40897-8,,107023-98-9062,107023-254
5/1/2020,989-28-79-23023-4,,107023-35-8883,107023-255
5/1/2020,989-28-79-74374-1,,107023-27-4529,107023-256
5/1/2020,989-28-79-44730-4,,107023-27-9960,107023-257
5/1/2020,989-28-3705-492-6,,107023-94-6678,107023-258
5/1/2020,989-28-3705-222-9,,107023-59-7446,107023-259
5/1/2020,989-28-3705-222-9,,107023-79-2356,107023-260
5/1/2020,989-28-3705-222-9,,107023-67-7192,107023-261
5/1/2020,989-28-3705-222-9,,107023-50-7418,107023-262
5/1/2020,989-28-3705-222-9,,107023-87-8277,107023-263
5/1/2020,989-28-79-14379-4,,107023-44-319,107023-264
5/1/2020,989-28-3705-222-9,,107023-50-1732,107023-265
5/1/2020,989-28-79-03683-6,,107023-12-3597,107023-266
5/1/2020,989-28-3705-222-9,,107023-35-4377,107023-267
5/1/2020,989-28-3705-222-9,,107023-38-8140,107023-268
5/1/2020,989-28-3705-492-6,,107023-61-160,107023-269
5/1/2020,989-28-3705-583-1,,107023-15-425,107023-270
5/1/2020,989-28-3705-152-9,,107023-28-2142,107023-270
5/1/2020,989-28-3705-987-7,,107023-73-3333,107023-270
5/1/2020,989-28-79-82197-5,"0,15",107023-1-5390,107023-271
5/1/2020,989-28-79-11297-4,,107023-76-4145,107023-271
5/1/2020,989-28-79-91028-0,,107023-76-8401,107023-271
5/1/2020,989-28-79-13871-4,,107023-61-7664,107023-272
5/1/2020,989-28-79-69807-2,,107023-7-33,107023-272
5/1/2020,989-28-229-5891-8,,107023-3-3880,107023-273
5/1/2020,989-28-79-21991-8,,107023-45-5640,107023-273
5/1/2020,989-28-79-45675-7,,107023-66-2903,107023-273
5/1/2020,989-28-3705-222-9,,107023-75-6141,107023-273
5/1/2020,989-28-3705-222-9,,107023-43-5050,107023-274
5/1/2020,989-28-79-82749-6,,107023-94-208,107023-274
5/1/2020,989-28-79-82125-8,,107023-99-9706,107023-274
5/1/2020,989-28-79-71565-6,,107023-88-3261,107023-275
5/1/2020,989-28-79-13871-4,,107023-95-8558,107023-275
5/1/2020,989-28-79-13801-1,,107023-13-6160,107023-276
5/1/2020,989-28-79-40897-8,,107023-28-5589,107023-276
5/1/2020,989-28-79-23023-4,,107023-33-5996,107023-277
5/1/2020,989-28-79-13801-1,,107023-36-7543,107023-277
5/1/2020,989-28-79-74374-1,,107023-53-6567,107023-278
5/1/2020,989-28-229-1404-4,,107023-85-8448,107023-278
5/1/2020,989-28-229-7592-2,"0,13",107023-42-4094,107023-279
5/1/2020,989-28-79-74374-1,"0,13",107023-54-5342,107023-279
5/1/2020,989-28-79-13871-4,"0,13",107023-42-9554,107023-280
5/1/2020,989-28-3705-987-7,,107023-97-305,107023-280
5/1/2020,989-28-3705-492-6,,107023-68-3375,107023-281
5/1/2020,989-28-79-16826-1,,107023-79-6274,107023-281
6/1/2020,989-28-79-82197-5,"0,15",107024-1-1659,107023-296
6/1/2020,989-28-3705-583-1,,107024-65-5003,107024-282
6/1/2020,989-28-3705-007-2,,107024-56-7924,107024-283
6/1/2020,989-28-3705-007-2,,107024-69-6939,107024-284
6/1/2020,989-28-3705-007-2,,107024-31-2163,107024-285
6/1/2020,989-28-3705-583-1,,107024-48-5034,107024-286
6/1/2020,989-28-3705-583-1,,107024-67-6372,107024-287
6/1/2020,989-28-3705-987-7,,107024-19-8248,107024-288
6/1/2020,989-28-3705-987-7,,107024-74-9081,107024-289
6/1/2020,989-28-3705-966-2,,107024-88-6145,107024-290
6/1/2020,989-28-3705-007-2,,107024-65-2783,107024-291
6/1/2020,989-28-3705-007-2,,107024-60-2388,107024-292
6/1/2020,989-28-79-45675-7,,107024-48-6813,107024-293
6/1/2020,989-28-79-86624-2,,107024-14-4983,107024-294
6/1/2020,989-28-79-70597-8,,107024-66-2873,107024-295
6/1/2020,989-28-79-45675-7,,107024-62-6122,107024-297
6/1/2020,989-28-79-13871-4,,107024-33-7374,107024-298
6/1/2020,989-28-79-05670-4,,107024-78-171,107024-299
6/1/2020,989-28-79-69807-2,,107024-93-2571,107024-300
6/1/2020,989-28-79-82749-6,,107024-25-2676,107024-301
6/1/2020,989-28-79-13871-4,,107024-66-2184,107024-302
6/1/2020,989-28-79-69807-2,,107024-93-2570,107024-303
6/1/2020,989-28-79-13871-4,,107024-33-7373,107024-304
6/1/2020,989-28-79-13871-4,,107024-66-2183,107024-305
6/1/2020,989-28-79-82749-6,,107024-25-2675,107024-306
6/1/2020,989-28-229-3157-7,,107024-83-2325,107024-307
6/1/2020,989-28-229-1404-4,,107024-1-4283,107024-308
6/1/2020,989-28-229-9769-6,,107024-17-1957,107024-309
6/1/2020,989-28-229-1404-4,,107024-80-389,107024-310
6/1/2020,989-28-229-7592-2,,107024-88-5951,107024-311
6/1/2020,989-28-229-1404-4,,107024-11-2113,107024-312
6/1/2020,989-28-229-6632-6,"0,1",107024-81-7740,107024-313
6/1/2020,989-28-229-6632-6,"0,1",107024-66-5855,107024-314
6/1/2020,989-28-229-9769-6,,107024-87-8563,107024-315
6/1/2020,989-28-229-9769-6,,107024-8-726,107024-316
6/1/2020,989-28-229-7592-2,,107024-25-3301,107024-317
6/1/2020,989-28-229-7592-2,,107024-95-9050,107024-318
6/1/2020,989-28-229-6632-6,"0,1",107024-95-9743,107024-319
6/1/2020,989-28-229-7592-2,,107024-7-2086,107024-320
6/1/2020,989-28-79-40897-8,,107024-37-2869,107024-321
6/1/2020,989-28-79-13801-1,,107024-71-4686,107024-322
6/1/2020,989-28-79-23023-4,,107024-8-5278,107024-323
6/1/2020,989-28-79-40897-8,,107024-23-751,107024-324
6/1/2020,989-28-79-23023-4,,107024-52-8676,107024-325
6/1/2020,989-28-79-23023-4,,107024-19-4026,107024-326
6/1/2020,989-28-79-40897-8,,107024-75-2260,107024-327
6/1/2020,989-28-79-13801-1,,107024-64-7469,107024-328
6/1/2020,989-28-79-74374-1,,107024-90-9121,107024-329
6/1/2020,989-28-79-26824-4,,107024-50-2130,107024-330
6/1/2020,989-28-79-23023-4,,107024-85-4591,107024-331
6/1/2020,989-28-79-74374-1,,107024-85-7037,107024-332
6/1/2020,989-28-79-55752-2,,107024-35-1159,107024-333
6/1/2020,989-28-79-23023-4,,107024-98-8690,107024-334
6/1/2020,989-28-79-13801-1,,107024-54-2662,107024-335
6/1/2020,989-28-79-13801-1,,107024-91-7062,107024-336
6/1/2020,989-28-79-23023-4,,107024-60-9006,107024-337
6/1/2020,989-28-79-23023-4,,107024-32-5341,107024-338
6/1/2020,989-28-79-40897-8,,107024-51-277,107024-339
6/1/2020,989-28-79-13801-1,,107024-71-1920,107024-340
6/1/2020,989-28-79-74374-1,,107024-66-3961,107024-341
6/1/2020,989-28-79-74374-1,,107024-95-8806,107024-342
6/1/2020,989-28-79-68089-3,"0,05",107024-30-101,107024-343
6/1/2020,989-28-79-71565-6,,107024-81-1125,107024-344
6/1/2020,989-28-79-13801-1,,107024-89-8977,107024-345
6/1/2020,989-28-79-23023-4,,107024-56-3657,107024-346
6/1/2020,989-28-79-74374-1,,107024-7-1233,107024-347
6/1/2020,989-28-79-91028-0,,107024-60-3520,107024-348
6/1/2020,989-28-79-23023-4,,107024-10-6443,107024-349
6/1/2020,989-28-79-23023-4,,107024-98-2999,107024-350
6/1/2020,989-28-79-68089-3,"0,05",107024-73-1768,107024-351
6/1/2020,989-28-79-23023-4,,107024-1-5458,107024-352
6/1/2020,989-28-79-26824-4,,107024-87-7978,107024-353
6/1/2020,989-28-79-26824-4,,107024-50-8152,107024-354
6/1/2020,989-28-79-13801-1,,107024-56-4134,107024-355
6/1/2020,989-28-79-91028-0,,107024-62-485,107024-356
6/1/2020,989-28-79-74374-1,,107024-81-8608,107024-357
6/1/2020,989-28-79-91028-0,,107024-19-8210,107024-358
6/1/2020,989-28-79-26824-4,,107024-56-9123,107024-359
6/1/2020,989-28-79-68089-3,"0,05",107024-76-8613,107024-360
6/1/2020,989-28-79-51397-9,,107024-91-8052,107024-361
6/1/2020,989-28-79-43574-5,,107024-32-2948,107024-362
6/1/2020,989-28-79-43574-5,,107024-53-1090,107024-363
6/1/2020,989-28-79-40897-8,,107024-38-6486,107024-364
6/1/2020,989-28-3705-222-9,,107024-92-4691,107024-365
6/1/2020,989-28-3705-492-6,,107024-86-1250,107024-366
6/1/2020,989-28-3705-492-6,,107024-62-9268,107024-367
6/1/2020,989-28-3705-222-9,,107024-27-31,107024-368
6/1/2020,989-28-3705-222-9,,107024-45-3531,107024-369
6/1/2020,989-28-3705-222-9,,107024-3-5739,107024-370
6/1/2020,989-28-229-6632-6,"0,1",107024-28-9100,107024-371
6/1/2020,989-28-79-23023-4,,107024-31-6720,107024-372
6/1/2020,989-28-79-74374-1,,107024-37-6965,107024-372
6/1/2020,989-28-79-45675-7,,107024-53-3828,107024-372
6/1/2020,989-28-79-13801-1,,107024-93-237,107024-372
6/1/2020,989-28-79-22871-2,,107024-21-9222,107024-373
6/1/2020,989-28-3705-007-2,,107024-47-8672,107024-373
6/1/2020,989-28-79-27078-0,,107024-50-2403,107024-373
6/1/2020,989-28-79-45675-7,"0,13",107024-28-303,107024-374
6/1/2020,989-28-654-2017-5,"0,13",107024-42-342,107024-374
6/1/2020,989-28-79-21991-8,"0,13",107024-47-310,107024-374
6/1/2020,989-28-229-6632-6,"0,1",107024-11-9647,107024-375
6/1/2020,989-28-79-23023-4,,107024-72-9437,107024-375
6/1/2020,989-28-3705-583-1,,107024-89-5282,107024-376
6/1/2020,989-28-3705-492-6,,107024-89-8554,107024-376
6/1/2020,989-28-3705-222-9,,107024-27-7613,107024-377
6/1/2020,989-28-3705-492-6,,107024-87-1574,107024-377
6/1/2020,989-28-654-2017-5,,107024-62-293,107024-378
6/1/2020,989-28-79-26824-4,,107024-72-9733,107024-378
6/1/2020,989-28-79-13801-1,,107024-96-8913,107024-378
6/1/2020,989-28-79-26824-4,,107024-32-9863,107024-379
6/1/2020,989-28-229-9769-6,,107024-56-7501,107024-379
6/1/2020,989-28-79-11297-4,,107024-55-648,107024-380
